ID;POWER_STATION;UNITS;CAPACITY_MWE;COUNTRY;LOCATION;CONSTRUCTION_START;PLANNED_CONNECTION
119;Saint-Laurent Nuclear Power Plant;2;1,830[note 29];France;47°43'12''N 01°34'39''E;;
120;Saint Lucie Nuclear Power Station;2;1,678;United States;27°20'55''N 80°14'47''W;;
121;Salem Nuclear Power Plant;2;2,332;United States;39°27'46''N 75°32'08''W;;
122;Seabrook Station Nuclear Power Plant;1;1,247;United States;42°53'56''N 70°51'03''W;;
123;Sendai Nuclear Power Plant;2;1,692;Japan;31°50'01''N 130°11'23''E;;
124;Sequoyah Nuclear Generating Station;2;2,278;United States;35°13'35''N 85°05'30''W;;
125;Shika Nuclear Power Plant;2;1,613;Japan;37°03'40''N 136°43'35''E;;
126;Shimane Nuclear Power Plant;2;1,228[note 30];Japan;35°32'18''N 132°59'57''E;;
127;Shin Kori Nuclear Power Plant;6;1,945[note 31];South Korea;35°19'12''N 129°17'47''E;;
128;Sizewell-B Nuclear Power Station;1;1,188;United Kingdom;52°12'48''N 01°37'07''E;;
129;Smolensk Nuclear Power Plant;3;2,775;Russia;54°10'09''N 33°14'48''E;;
130;South Texas Nuclear Generating Station;2;2,56;United States;28°47'44''N 96°02'56''W;;
131;South Ukraine Nuclear Power Plant;3;2,85;Ukraine;47°49'00''N 31°13'00''E;;
132;Surry Nuclear Power Plant;2;1,638;United States;37°09'56''N 76°41'52''W;;
133;Susquehanna Steam Electric Station;2;2,429;United States;41°05'20''N 76°08'56''W;;
134;Takahama Nuclear Power Plant;4;3,22;Japan;35°31'20''N 135°30'17''E;;
135;Tarapur Atomic Power Station;4;1,28;India;19°49'40''N 72°39'40''E;;
136;Temelin Nuclear Power Station;2;1,926;Czech Republic;49°10'48''N 14°22'34''E;;
137;Tianwan Nuclear Power Plant;2;1,980[note 32];China;34°41'13''N 119°27'35''E;;
138;Tihange Nuclear Power Station;3;3,016;Belgium;50°32'05''N 05°16'21''E;;
139;Tokai Nuclear Power Plant;1;1,060[note 33];Japan;36°27'59''N 140°36'24''E;;
140;Tomari Nuclear Power Plant;3;1,966;Japan;43°02'10''N 140°30'45''E;;
141;Torness Nuclear Power Station;2;1,205;United Kingdom;55°58'05''N 02°24'33''W;;
142;Tricastin Nuclear Power Center;4;3,66;France;44°19'47''N 04°43'56''E;;
143;Trillo Nuclear Power Plant;1;1,003;Spain;40°42'04''N 02°37'19''W;;
144;Tsuruga Nuclear Power Plant;2;1,448;Japan;35°40'22''N 136°04'38''E;;
145;Turkey Point Nuclear Generating Station;2;1,386;United States;25°26'03''N 80°19'50''W;;
146;Vandellòs Nuclear Power Station;1;1,045[note 34];Spain;40°57'05''N 00°52'00''E;;
147;Vogtle Electric Generating Plant;2;2,302[note 35];United States;33°08'35''N 81°45'57''W;;
148;Waterford Nuclear Generating Station;1;1,168;United States;29°59'43''N 90°28'16''W;;
149;Watts Bar Nuclear Generating Station;1;1,123[note 36];United States;35°36'10''N 84°47'22''W;;
150;Wolf Creek Generating Station;1;1,16;United States;38°14'20''N 95°41'20''W;;
151;Wolseong Nuclear Power Plant;4;2,722;South Korea;35°42'40''N 129°28'30''E;;
152;Yangjiang Nuclear Power Plant;1;1,000[note 37];China;21°42'35''N 112°15'38''E;;
153;Zaporizhzhia Nuclear Power Plant;6;5,7;Ukraine;47°30'44''N 34°35'09''E;;
154;Atucha Nuclear Power Plant;;1,027[note 38];Argentina;33°58'3''S 59°12'18''W;1981;2014
155;Barakah Nuclear Power Plant;;2,69;UAE;23°59'6''N 52°17'1''E;2012;2017
156;Belarusian Nuclear Power Plant;;2,4;Belarus;54°45'43''N 26°7'12''E;2012;2018
157;Beloyarsk-4 (BN-800);;1,364[note 39];Russia;56°50'30''N 61°19'21''E;2006;2014
